keyword,risk_score,personality_distribution
PIN,10,"Trusting (50%), Anxious (50%)"
OTP,10,"Anxious (60%), Trusting (40%)"
Password,9,"Trusting (60%), Anxious (40%)"
CVV,10,"Trusting (50%), Anxious (50%)"
UPI PIN,10,"Unaware (60%), Trusting (40%)"
Phishing link,9,"Curious (50%), Anxious (30%), Trusting (20%)"
Vishing call,9,"Anxious (50%), Trusting (30%), Greedy (20%)"
Screen sharing,9,"Anxious (60%), Trusting (40%)"
Remote access,9,"Anxious (60%), Trusting (40%)"
SIM swap,10,"Trusting (50%), Greedy (30%), Unaware (20%)"
SIM cloning,10,"Trusting (50%), Greedy (30%), Unaware (20%)"
Free upgrade,8,"Greedy (70%), Trusting (30%)"
Additional benefits,8,"Greedy (70%), Trusting (30%)"
QR code scan,9,"Unaware (60%), Trusting (40%)"
Account blocked,9,"Anxious (70%), Trusting (30%)"
Unauthorised transaction,9,"Anxious (70%), Trusting (30%)"
Penalty,9,"Anxious (80%), Trusting (20%)"
Discount,8,"Greedy (70%), Trusting (30%)"
Customer care,9,"Trusting (70%), Anxious (30%)"
Verify identity,9,"Anxious (50%), Trusting (50%)"
Aadhaar updation,9,"Anxious (60%), Trusting (40%)"
Bank account,9,"Trusting (60%), Anxious (40%)"
Credit card,9,"Trusting (60%), Anxious (40%)"
Debit card,9,"Trusting (60%), Anxious (40%)"
Mobile apps,8,"Trusting (50%), Naive (30%), Anxious (20%)"
Juice jacking,7,"Unaware (70%), Trusting (30%)"
Lottery,9,"Greedy (80%), Trusting (20%)"
Won,9,"Greedy (80%), Trusting (20%)"
Prize money,9,"Greedy (80%), Trusting (20%)"
Rewards,9,"Greedy (80%), Trusting (20%)"
Gift card,8,"Greedy (70%), Curious (30%)"
Claim now,9,"Greedy (70%), Anxious (30%)"
Exclusive webinar,7,"Curious (50%), Greedy (30%), Trusting (20%)"
Job offer,9,"Desperate (60%), Trusting (40%)"
High salaries,9,"Desperate (70%), Greedy (30%)"
Easy work,8,"Desperate (70%), Trusting (30%)"
Work from home,8,"Desperate (70%), Trusting (30%)"
Registration fee,9,"Desperate (60%), Trusting (40%)"
Training program,9,"Desperate (60%), Trusting (40%)"
Visa processing,9,"Desperate (60%), Trusting (40%)"
