verdict,command
NOT_SCAM,ENGAGE
NOT_SCAM,ENGAGE
SCAM,EXTRACT
SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,ENGAGE
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,ENGAGE
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,ENGAGE
SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,ENGAGE
NOT_SCAM,ENGAGE
NOT_SCAM,ENGAGE
NOT_SCAM,ENGAGE
NOT_SCAM,ENGAGE
NOT_SCAM,ENGAGE
NOT_SCAM,ENGAGE
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,ENGAGE
NOT_SCAM,ENGAGE
NOT_SCAM,ENGAGE
SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,ENGAGE
NOT_SCAM,ENGAGE
SCAM,EXTRACT
SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,ENGAGE
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,ENGAGE
SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,ENGAGE
NOT_SCAM,ENGAGE
SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,ENGAGE
NOT_SCAM,ENGAGE
NOT_SCAM,ENGAGE
NOT_SCAM,ENGAGE
NOT_SCAM,ENGAGE
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,ENGAGE
NOT_SCAM,ENGAGE
SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,ENGAGE
SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,ENGAGE
SCAM,EXTRACT
SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,ENGAGE
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
SCAM,EXTRACT
SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,ENGAGE
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,ENGAGE
NOT_SCAM,ENGAGE
NOT_SCAM,ENGAGE
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,ENGAGE
SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,ENGAGE
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
SCAM,EXTRACT
SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,ENGAGE
NOT_SCAM,ENGAGE
NOT_SCAM,ENGAGE
NOT_SCAM,ENGAGE
NOT_SCAM,ENGAGE
NOT_SCAM,ENGAGE
NOT_SCAM,ENGAGE
SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,ENGAGE
NOT_SCAM,ENGAGE
SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,ENGAGE
NOT_SCAM,ENGAGE
SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,ENGAGE
NOT_SCAM,ENGAGE
NOT_SCAM,ENGAGE
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,ENGAGE
SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,ENGAGE
SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,ENGAGE
NOT_SCAM,ENGAGE
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,ENGAGE
NOT_SCAM,ENGAGE
SCAM,EXTRACT
SCAM,EXTRACT
SCAM,EXTRACT
SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,ENGAGE
NOT_SCAM,ENGAGE
NOT_SCAM,ENGAGE
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,ENGAGE
NOT_SCAM,ENGAGE
SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,ENGAGE
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,ENGAGE
SCAM,EXTRACT
NOT_SCAM,EXTRACT
SCAM,EXTRACT
NOT_SCAM,EXTRACT
