actual,predicted,verdict,risk_per_msg,command,progress
NO_SCAM,NO_SCAM,NO_SCAM,2.15,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,1.06,ENGAGE,2/5
SCAM,SCAM,SCAM,1.89,EXTRACT,3/8
SCAM,SCAM,SCAM,2.1,EXTRACT,4/11
SCAM,SCAM,SCAM,1.91,EXTRACT,5/14
NO_SCAM,NO_SCAM,NO_SCAM,1.52,ENGAGE,1/5
SCAM,SCAM,SCAM,1.83,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.86,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.09,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,1.4,EXTRACT,5/8
NO_SCAM,NO_SCAM,NO_SCAM,1.59,ENGAGE,1/5
SCAM,SCAM,SCAM,1.05,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.82,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.6,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,1.04,EXTRACT,5/8
SCAM,SCAM,SCAM,2.01,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,1.6,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.72,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.38,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,1.18,EXTRACT,5/8
SCAM,SCAM,SCAM,1.75,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,1.87,EXTRACT,2/8
SCAM,SCAM,SCAM,1.56,EXTRACT,3/11
SCAM,SCAM,SCAM,1.0,EXTRACT,4/14
SCAM,SCAM,SCAM,1.0,EXTRACT,5/17
NO_SCAM,NO_SCAM,NO_SCAM,1.79,ENGAGE,1/5
SCAM,SCAM,SCAM,1.91,EXTRACT,2/8
SCAM,SCAM,SCAM,1.82,EXTRACT,3/11
NO_SCAM,NO_SCAM,NO_SCAM,1.3,EXTRACT,4/11
SCAM,SCAM,SCAM,1.79,EXTRACT,5/14
NO_SCAM,NO_SCAM,NO_SCAM,1.74,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,4.03,ENGAGE,2/5
NO_SCAM,NO_SCAM,NO_SCAM,1.25,ENGAGE,3/5
NO_SCAM,NO_SCAM,NO_SCAM,1.66,ENGAGE,4/5
NO_SCAM,NO_SCAM,NO_SCAM,1.09,ENGAGE,5/5
NO_SCAM,NO_SCAM,NO_SCAM,3.79,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,1.5,ENGAGE,2/5
SCAM,SCAM,SCAM,1.06,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.09,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,1.77,EXTRACT,5/8
NO_SCAM,NO_SCAM,NO_SCAM,1.98,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,1.04,ENGAGE,2/5
NO_SCAM,NO_SCAM,NO_SCAM,1.51,ENGAGE,3/5
SCAM,SCAM,SCAM,1.28,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,1.86,EXTRACT,5/8
SCAM,SCAM,SCAM,2.13,EXTRACT,1/8
SCAM,SCAM,SCAM,1.83,EXTRACT,2/11
NO_SCAM,NO_SCAM,NO_SCAM,1.67,EXTRACT,3/11
